# Generated by scripts/generate from mods.json. Do NOT hand-edit.
# Columns (TAB-separated): filename	sha256	url	dest	tiers	prefix
fabric-api-0.141.6+1.21.11.jar	bdff7fd7e220085cfad2ff9b1f40dde6534ae0b96cf378f97a374bc54cb9ed0f	https://cdn.modrinth.com/data/P7dR8mSH/versions/6qAuTtLR/fabric-api-0.141.6%2B1.21.11.jar	mods	*	fabric-api-
lithium-fabric-0.21.4+mc1.21.11.jar	5135c41da5b43cbdcb29424bde65195143ac4084e23834c8eac065942201c78b	https://cdn.modrinth.com/data/gvQqBUqZ/versions/Ow7wA0kG/lithium-fabric-0.21.4%2Bmc1.21.11.jar	mods	*	lithium-fabric-
ferritecore-8.2.0-fabric.jar	f76bd760cbf48280cc7c43180f5089a46235fa24d934a8acf3da04a664c2c715	https://cdn.modrinth.com/data/uXXizFIs/versions/Ii0gP3D8/ferritecore-8.2.0-fabric.jar	mods	*	ferritecore-
balm-fabric-1.21.11-21.11.9.1.jar	e957283fcf3d1a3bc1a832db74fa80b03b770eb61d2875de644e66da84bb0390	https://cdn.modrinth.com/data/MBAkmtvl/versions/5POKgjJn/balm-fabric-1.21.11-21.11.9.1.jar	mods	*	balm-fabric-
ForgeConfigAPIPort-v21.11.1-mc1.21.11-Fabric.jar	31a0686904fad1cfdeb1d6b011ac1c2280990d6e76ac2416468147e2246b4db1	https://cdn.modrinth.com/data/ohNO6lps/versions/uXrWPsCu/ForgeConfigAPIPort-v21.11.1-mc1.21.11-Fabric.jar	mods	*	ForgeConfigAPIPort-
midnightlib-fabric-1.9.3+1.21.11.jar	515dcc1602a3e560c2e8c7c5672af661a92bbddb1a6e2acaead3176773cf446f	https://cdn.modrinth.com/data/codAaoxh/versions/jkodor79/midnightlib-fabric-1.9.3%2B1.21.11.jar	mods	*	midnightlib-fabric-
PuzzlesLib-v21.11.13-mc1.21.11-Fabric.jar	1c7b062f4d4fd4c830dbaa875da01706ef85f072969191d8c1affef693a66b82	https://cdn.modrinth.com/data/QAGBst4M/versions/xTX7sOwU/PuzzlesLib-v21.11.13-mc1.21.11-Fabric.jar	mods	*	PuzzlesLib-
jei-1.21.11-fabric-27.23.0.71.jar	e904a724d7e2b5b2382b1f46f8d3efe84cb6a955ee6fe5310e8a173cf881ffb6	https://cdn.modrinth.com/data/u6dRKJwZ/versions/vyofGDrh/jei-1.21.11-fabric-27.23.0.71.jar	mods	*	jei-
waystones-fabric-1.21.11-21.11.9.jar	6ce002c05655969f528dc1a1eb335a567caa6eaaf95715a86770a066b693f470	https://cdn.modrinth.com/data/LOpKHB2A/versions/MydMW2TT/waystones-fabric-1.21.11-21.11.9.jar	mods	*	waystones-fabric-
travelersbackpack-fabric-1.21.11-10.11.10.jar	d9f42b1bafd29d84fd97b5b6e51c948f0ed7d1251c0deed40e512870ea5980fb	https://cdn.modrinth.com/data/rlloIFEV/versions/LfmQsEdR/travelersbackpack-fabric-1.21.11-10.11.10.jar	mods	*	travelersbackpack-fabric-
